median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
3.29E+04,1.15E+00,1.40E+01,1.37E+03,3.86E+02,4.36E+02,2.13E+02,3.60E+01,-1.16E+02
3.32E+04,1.76E+00,2.10E+01,4.96E+02,1.31E+02,5.11E+02,1.24E+02,3.54E+01,-1.19E+02
3.42E+04,1.07E+00,3.10E+01,6.02E+02,1.53E+02,1.12E+02,4.70E+01,4.15E+01,-1.22E+02
3.44E+04,2.15E+00,2.20E+01,3.54E+02,1.21E+02,5.30E+02,1.15E+02,3.67E+01,-1.20E+02
3.46E+04,2.23E+00,2.10E+01,1.09E+03,2.08E+02,6.60E+02,1.88E+02,4.15E+01,-1.21E+02
3.50E+04,2.38E+00,3.90E+01,8.19E+03,1.75E+03,6.85E+03,1.60E+03,3.46E+01,-1.17E+02
3.66E+04,9.29E-01,2.60E+01,8.75E+02,1.99E+02,5.67E+02,2.04E+02,3.53E+01,-1.19E+02
3.67E+04,1.05E+00,3.10E+01,9.38E+02,2.38E+02,4.25E+02,1.57E+02,4.13E+01,-1.24E+02
3.75E+04,3.13E+00,3.60E+01,1.16E+02,2.00E+01,3.90E+01,1.80E+01,3.52E+01,-1.19E+02
3.75E+04,2.23E+00,3.60E+01,7.86E+02,1.94E+02,5.73E+02,1.34E+02,3.55E+01,-1.19E+02
3.75E+04,2.17E+00,1.40E+01,2.31E+03,6.50E+02,5.72E+03,6.15E+02,3.44E+01,-1.20E+02
3.75E+04,1.80E+00,1.00E+01,3.65E+02,1.02E+02,1.40E+02,4.90E+01,4.04E+01,-1.23E+02
3.79E+04,1.75E+00,4.50E+01,3.15E+03,7.56E+02,1.80E+03,7.49E+02,3.79E+01,-1.22E+02
3.88E+04,1.94E+00,2.00E+01,1.19E+03,2.63E+02,1.27E+03,2.41E+02,3.65E+01,-1.21E+02
3.88E+04,1.94E+00,5.20E+01,2.81E+02,1.03E+02,4.70E+02,9.60E+01,3.40E+01,-1.18E+02
3.92E+04,2.18E+00,1.80E+01,1.13E+03,2.37E+02,7.72E+02,2.20E+02,3.64E+01,-1.20E+02
3.94E+04,1.33E+00,3.80E+01,1.44E+03,3.10E+02,7.79E+02,2.75E+02,3.95E+01,-1.22E+02
3.94E+04,1.54E+00,4.20E+01,1.12E+03,2.55E+02,6.77E+02,2.13E+02,3.53E+01,-1.19E+02
3.96E+04,1.05E+00,3.50E+01,8.53E+02,2.96E+02,1.23E+03,2.89E+02,3.67E+01,-1.20E+02
3.98E+04,1.91E+00,3.60E+01,1.18E+03,3.16E+02,6.72E+02,2.41E+02,3.50E+01,-1.18E+02
4.00E+04,1.00E+00,3.30E+01,1.23E+03,3.73E+02,7.77E+02,2.98E+02,3.32E+01,-1.15E+02
4.00E+04,1.68E+00,2.70E+01,7.77E+02,1.85E+02,3.18E+02,1.15E+02,4.10E+01,-1.20E+02
4.00E+04,2.54E+00,1.20E+01,8.07E+02,1.99E+02,2.46E+02,1.02E+02,3.49E+01,-1.16E+02
4.00E+04,3.69E+00,2.20E+01,1.24E+03,2.90E+02,4.13E+02,2.74E+02,3.74E+01,-1.22E+02
4.04E+04,3.41E+00,3.50E+01,7.92E+03,1.64E+03,3.43E+03,1.33E+03,3.55E+01,-1.17E+02
4.09E+04,2.06E+00,2.80E+01,1.67E+03,3.85E+02,1.43E+03,3.71E+02,3.61E+01,-1.19E+02
4.10E+04,1.36E+00,3.40E+01,3.87E+03,1.26E+03,8.90E+02,4.23E+02,3.42E+01,-1.16E+02
4.13E+04,2.85E+00,2.70E+01,1.85E+03,4.49E+02,3.96E+02,1.50E+02,4.02E+01,-1.23E+02
4.14E+04,1.77E+00,2.30E+01,9.51E+02,2.35E+02,8.06E+02,2.22E+02,3.63E+01,-1.19E+02
4.15E+04,1.65E+00,3.20E+01,1.84E+03,4.41E+02,1.63E+03,4.25E+02,3.61E+01,-1.19E+02
4.17E+04,1.17E+00,2.70E+01,1.55E+03,4.15E+02,1.70E+03,3.95E+02,3.65E+01,-1.19E+02
4.18E+04,2.20E+00,4.10E+01,4.61E+02,1.07E+02,2.84E+02,9.00E+01,3.95E+01,-1.22E+02
4.21E+04,2.04E+00,3.30E+01,2.58E+03,5.64E+02,1.16E+03,4.31E+02,3.56E+01,-1.18E+02
4.21E+04,1.66E+00,3.70E+01,7.66E+02,1.89E+02,6.39E+02,1.90E+02,3.61E+01,-1.20E+02
4.25E+04,8.25E-01,1.50E+01,2.02E+02,5.40E+01,1.45E+02,4.00E+01,3.95E+01,-1.22E+02
4.25E+04,1.41E+00,5.20E+01,4.25E+02,1.19E+02,3.80E+02,9.70E+01,3.54E+01,-1.19E+02
4.25E+04,1.25E+00,3.90E+01,8.96E+02,2.17E+02,8.05E+02,1.97E+02,3.54E+01,-1.19E+02
4.25E+04,2.21E+00,2.30E+01,1.18E+03,4.68E+02,3.55E+02,1.51E+02,3.42E+01,-1.16E+02
4.25E+04,1.33E+00,3.00E+01,5.40E+02,1.36E+02,1.22E+02,6.30E+01,3.42E+01,-1.16E+02
4.25E+04,5.36E-01,4.00E+00,4.20E+01,1.00E+01,9.00E+00,3.00E+00,3.41E+01,-1.17E+02
4.25E+04,6.96E-01,5.20E+01,2.88E+02,8.60E+01,2.72E+02,5.40E+01,3.80E+01,-1.21E+02
4.25E+04,1.66E+00,1.60E+01,1.64E+02,3.00E+01,5.42E+02,3.20E+01,3.53E+01,-1.21E+02
4.25E+04,1.74E+00,3.00E+01,1.47E+03,3.73E+02,1.42E+03,3.57E+02,3.61E+01,-1.19E+02
4.26E+04,1.76E+00,1.90E+01,2.15E+03,4.58E+02,1.32E+03,3.86E+02,3.61E+01,-1.19E+02
4.27E+04,1.26E+00,1.50E+01,1.48E+03,3.38E+02,1.06E+03,2.79E+02,3.54E+01,-1.19E+02
4.27E+04,1.50E+00,2.20E+01,1.75E+03,3.74E+02,1.11E+03,3.38E+02,3.59E+01,-1.19E+02
4.30E+04,2.83E+00,1.30E+01,1.61E+03,4.10E+02,8.46E+02,2.70E+02,3.35E+01,-1.17E+02
4.30E+04,1.26E+00,4.00E+01,9.64E+02,2.30E+02,7.42E+02,2.09E+02,3.80E+01,-1.21E+02
4.30E+04,1.57E+00,3.90E+01,8.58E+02,2.28E+02,1.22E+03,2.24E+02,3.65E+01,-1.19E+02
4.31E+04,1.36E+00,3.20E+01,2.21E+03,5.23E+02,1.77E+03,4.79E+02,3.63E+01,-1.20E+02
4.31E+04,1.40E+00,4.10E+01,2.28E+03,5.38E+02,1.91E+03,5.11E+02,3.61E+01,-1.19E+02
4.33E+04,1.23E+00,5.20E+01,1.38E+03,3.19E+02,1.28E+03,2.59E+02,3.67E+01,-1.20E+02
4.33E+04,1.66E+00,3.20E+01,2.00E+03,5.23E+02,1.07E+03,4.10E+02,3.32E+01,-1.16E+02
4.35E+04,2.65E+00,4.00E+01,1.18E+03,2.44E+02,5.86E+02,1.87E+02,3.63E+01,-1.20E+02
4.35E+04,1.79E+00,4.00E+01,3.27E+03,6.63E+02,1.47E+03,5.53E+02,4.18E+01,-1.22E+02
4.36E+04,9.41E-01,4.00E+01,8.50E+02,2.27E+02,7.64E+02,1.86E+02,3.54E+01,-1.19E+02
4.37E+04,1.51E+00,3.20E+01,1.39E+03,3.43E+02,1.28E+03,3.36E+02,3.59E+01,-1.19E+02
4.38E+04,1.90E+00,5.20E+01,6.10E+02,1.28E+02,4.06E+02,1.22E+02,3.67E+01,-1.20E+02
4.38E+04,1.53E+00,2.90E+01,4.24E+02,7.80E+01,2.84E+02,7.30E+01,3.61E+01,-1.20E+02
4.39E+04,1.43E+00,2.60E+01,1.13E+03,2.80E+02,3.29E+02,1.58E+02,3.27E+01,-1.16E+02
4.39E+04,2.03E+00,3.30E+01,1.73E+03,4.20E+02,1.37E+03,3.88E+02,3.60E+01,-1.20E+02
4.40E+04,1.20E+00,1.70E+01,1.39E+03,3.86E+02,7.75E+02,3.20E+02,3.27E+01,-1.15E+02
4.40E+04,2.14E+00,4.20E+01,2.92E+03,5.76E+02,1.18E+03,4.40E+02,4.18E+01,-1.21E+02
4.40E+04,1.74E+00,2.80E+01,4.23E+03,8.35E+02,1.91E+03,6.86E+02,4.19E+01,-1.22E+02
4.41E+04,1.30E+00,4.10E+01,1.56E+03,3.22E+02,9.27E+02,2.77E+02,3.67E+01,-1.20E+02
4.44E+04,1.56E+00,2.90E+01,1.75E+03,4.41E+02,1.53E+03,3.91E+02,3.67E+01,-1.20E+02
4.44E+04,1.64E+00,2.00E+01,1.49E+03,3.60E+02,1.14E+03,3.03E+02,3.35E+01,-1.15E+02
4.44E+04,1.49E+00,3.10E+01,2.05E+03,4.65E+02,1.19E+03,4.47E+02,4.01E+01,-1.22E+02
4.45E+04,1.33E+00,3.20E+01,2.07E+03,4.97E+02,2.00E+03,4.70E+02,3.68E+01,-1.20E+02
4.46E+04,1.71E+00,1.10E+01,8.74E+03,2.19E+03,4.78E+03,1.92E+03,3.54E+01,-1.19E+02
4.46E+04,1.88E+00,3.80E+01,1.90E+03,4.53E+02,1.61E+03,4.00E+02,3.62E+01,-1.19E+02
4.47E+04,1.67E+00,3.00E+01,1.21E+03,2.89E+02,6.11E+02,2.30E+02,3.48E+01,-1.17E+02
4.48E+04,1.70E+00,4.50E+01,9.25E+02,2.31E+02,7.97E+02,2.28E+02,3.67E+01,-1.20E+02
4.50E+04,1.00E+00,5.20E+01,3.77E+02,9.70E+01,5.30E+02,9.60E+01,3.68E+01,-1.20E+02
4.50E+04,8.59E-01,1.50E+01,1.45E+03,3.78E+02,9.49E+02,3.00E+02,3.28E+01,-1.15E+02
4.50E+04,2.92E+00,2.10E+01,1.34E+03,3.26E+02,7.48E+02,3.35E+02,3.38E+01,-1.18E+02
4.50E+04,2.08E+00,2.70E+01,1.73E+02,3.50E+01,1.17E+02,3.40E+01,3.35E+01,-1.15E+02
4.50E+04,2.20E+00,9.00E+00,6.74E+02,2.42E+02,5.75E+02,1.93E+02,3.80E+01,-1.21E+02
4.50E+04,1.95E+00,4.10E+01,3.75E+02,1.08E+02,3.23E+02,9.80E+01,3.79E+01,-1.21E+02
4.51E+04,1.06E+00,2.60E+01,3.22E+03,8.27E+02,2.04E+03,7.37E+02,3.95E+01,-1.22E+02
4.53E+04,1.36E+00,3.50E+01,1.99E+03,3.94E+02,1.23E+03,3.83E+02,3.67E+01,-1.20E+02
4.55E+04,1.44E+00,3.90E+01,1.55E+03,3.63E+02,1.45E+03,3.41E+02,3.67E+01,-1.20E+02
4.55E+04,1.25E+00,4.10E+01,1.58E+03,4.17E+02,1.57E+03,3.66E+02,3.68E+01,-1.20E+02
4.55E+04,1.79E+00,2.50E+01,1.71E+03,4.39E+02,6.32E+02,2.92E+02,3.61E+01,-1.18E+02
4.55E+04,1.77E+00,2.90E+01,2.89E+03,7.53E+02,2.95E+03,6.99E+02,3.52E+01,-1.19E+02
4.55E+04,1.36E+00,2.80E+01,2.13E+03,4.84E+02,1.20E+03,4.39E+02,3.91E+01,-1.22E+02
4.56E+04,1.18E+00,3.20E+01,1.29E+03,3.17E+02,1.11E+03,2.86E+02,3.54E+01,-1.19E+02
4.56E+04,1.34E+00,3.20E+01,1.36E+03,3.63E+02,1.43E+03,3.84E+02,3.63E+01,-1.19E+02
4.58E+04,2.53E+00,3.00E+01,2.94E+03,6.97E+02,1.57E+03,5.84E+02,3.51E+01,-1.19E+02
4.62E+04,1.65E+00,4.50E+01,2.25E+03,4.48E+02,1.16E+03,4.21E+02,4.14E+01,-1.22E+02
4.63E+04,1.88E+00,2.50E+01,1.85E+03,3.71E+02,1.46E+03,3.53E+02,3.63E+01,-1.20E+02
4.63E+04,2.93E+00,3.70E+01,1.50E+03,2.92E+02,8.58E+02,2.75E+02,3.70E+01,-1.20E+02
4.65E+04,1.40E+00,2.10E+01,1.38E+03,3.27E+02,1.47E+03,3.55E+02,3.61E+01,-1.20E+02
4.66E+04,1.46E+00,4.30E+01,2.07E+03,5.12E+02,1.93E+03,4.44E+02,3.68E+01,-1.20E+02
4.67E+04,1.12E+00,3.30E+01,3.16E+03,9.34E+02,3.53E+03,8.46E+02,3.68E+01,-1.20E+02
4.67E+04,2.10E+00,2.10E+01,1.02E+03,2.18E+02,8.90E+02,2.32E+02,3.31E+01,-1.16E+02
4.67E+04,1.25E+00,3.30E+01,8.21E+02,1.81E+02,5.79E+02,1.72E+02,3.54E+01,-1.19E+02
4.67E+04,1.57E+00,3.10E+01,1.42E+03,3.06E+02,1.22E+03,3.12E+02,3.54E+01,-1.19E+02
4.67E+04,1.56E+00,3.60E+01,9.73E+02,2.19E+02,6.13E+02,1.87E+02,3.53E+01,-1.19E+02
4.67E+04,1.28E+00,2.60E+01,9.96E+02,3.64E+02,3.66E+02,3.13E+02,3.38E+01,-1.18E+02
4.68E+04,1.63E+00,3.20E+01,1.36E+03,3.63E+02,1.48E+03,2.97E+02,3.54E+01,-1.19E+02
4.69E+04,1.52E+00,3.90E+01,1.29E+03,3.32E+02,1.39E+03,3.06E+02,3.68E+01,-1.20E+02
4.69E+04,1.26E+00,3.20E+01,2.62E+03,6.82E+02,2.38E+03,6.84E+02,3.54E+01,-1.19E+02
4.69E+04,1.46E+00,2.50E+01,2.00E+03,6.37E+02,7.43E+02,5.97E+02,3.38E+01,-1.18E+02
4.70E+04,1.29E+00,2.70E+01,1.78E+03,4.41E+02,1.16E+03,4.09E+02,3.91E+01,-1.22E+02
4.71E+04,9.68E-01,3.60E+01,1.56E+03,3.98E+02,1.22E+03,3.29E+02,3.54E+01,-1.19E+02
4.71E+04,1.84E+00,2.00E+01,2.03E+03,4.27E+02,9.83E+02,4.01E+02,3.70E+01,-1.20E+02
4.74E+04,2.34E+00,3.30E+01,2.04E+03,4.43E+02,1.50E+03,4.17E+02,3.61E+01,-1.19E+02
4.75E+04,1.56E+00,3.60E+01,6.07E+02,1.55E+02,4.83E+02,1.46E+02,3.67E+01,-1.20E+02
4.75E+04,1.98E+00,5.20E+01,1.12E+02,2.80E+01,1.93E+02,4.00E+01,3.67E+01,-1.20E+02
4.75E+04,1.51E+00,1.90E+01,1.52E+03,4.48E+02,9.60E+02,3.86E+02,3.68E+01,-1.20E+02
4.75E+04,5.34E+00,2.00E+00,9.60E+01,1.80E+01,3.00E+01,1.60E+01,3.33E+01,-1.16E+02
4.75E+04,1.91E+00,3.50E+01,1.20E+02,3.50E+01,4.77E+02,4.10E+01,3.54E+01,-1.19E+02
4.75E+04,2.12E+00,1.80E+01,8.20E+02,2.39E+02,1.35E+03,2.07E+02,3.56E+01,-1.20E+02
4.75E+04,2.02E+00,2.00E+01,1.37E+03,2.84E+02,4.29E+02,1.81E+02,4.18E+01,-1.20E+02
4.75E+04,1.93E+00,2.20E+01,6.39E+02,2.03E+02,6.64E+02,1.53E+02,3.37E+01,-1.16E+02
4.75E+04,1.80E+00,5.20E+01,2.04E+02,7.40E+01,2.48E+02,5.70E+01,3.27E+01,-1.17E+02
4.75E+04,3.14E+00,2.40E+01,1.30E+03,2.97E+02,4.41E+02,2.82E+02,3.74E+01,-1.22E+02
4.75E+04,2.35E+00,2.10E+01,5.54E+02,1.21E+02,4.26E+02,1.22E+02,3.60E+01,-1.19E+02
4.76E+04,2.68E+00,2.60E+01,2.40E+03,5.18E+02,1.04E+03,4.43E+02,4.03E+01,-1.20E+02
4.76E+04,1.65E+00,2.40E+01,1.59E+03,3.90E+02,1.69E+03,3.72E+02,3.59E+01,-1.19E+02
4.77E+04,1.44E+00,4.30E+01,1.76E+03,3.89E+02,1.62E+03,3.90E+02,3.67E+01,-1.20E+02
4.77E+04,2.10E+00,2.50E+01,1.05E+03,2.70E+02,1.51E+03,2.86E+02,3.60E+01,-1.20E+02
4.77E+04,1.99E+00,4.30E+01,1.34E+03,2.80E+02,9.43E+02,2.88E+02,3.62E+01,-1.19E+02
4.77E+04,1.68E+00,2.50E+01,1.51E+03,3.67E+02,1.39E+03,3.59E+02,3.61E+01,-1.19E+02
4.78E+04,1.11E+00,1.80E+01,1.52E+03,3.54E+02,1.21E+03,3.44E+02,3.54E+01,-1.19E+02
4.78E+04,1.88E+00,3.20E+01,3.30E+03,1.23E+03,7.63E+02,3.60E+02,3.42E+01,-1.16E+02
4.78E+04,1.37E+00,2.60E+01,1.46E+03,3.16E+02,8.80E+02,2.86E+02,3.60E+01,-1.19E+02
4.79E+04,2.08E+00,2.20E+01,9.05E+03,1.83E+03,4.28E+03,1.62E+03,4.16E+01,-1.21E+02
4.80E+04,9.95E-01,4.20E+01,1.19E+03,3.58E+02,1.04E+03,2.99E+02,3.54E+01,-1.19E+02
4.80E+04,1.57E+00,2.80E+01,1.56E+03,4.03E+02,1.56E+03,4.08E+02,3.70E+01,-1.20E+02
4.80E+04,1.66E+00,2.00E+01,1.47E+03,3.03E+02,1.03E+03,2.59E+02,3.64E+01,-1.19E+02
4.81E+04,2.72E+00,2.60E+01,1.71E+03,3.08E+02,7.61E+02,2.50E+02,4.11E+01,-1.21E+02
4.81E+04,2.19E+00,4.60E+01,1.50E+03,3.09E+02,7.87E+02,2.71E+02,3.48E+01,-1.15E+02
4.81E+04,1.39E+00,3.00E+01,1.27E+03,3.65E+02,8.40E+02,3.24E+02,4.04E+01,-1.22E+02
4.81E+04,1.44E+00,2.70E+01,1.52E+03,3.58E+02,1.18E+03,3.09E+02,3.63E+01,-1.19E+02
4.83E+04,1.71E+00,4.40E+01,1.82E+03,4.12E+02,1.68E+03,4.18E+02,3.68E+01,-1.20E+02
4.83E+04,1.36E+00,3.60E+01,1.53E+03,3.47E+02,1.33E+03,3.04E+02,3.70E+01,-1.20E+02
4.83E+04,1.53E+00,3.90E+01,1.77E+03,4.14E+02,1.06E+03,4.14E+02,3.80E+01,-1.21E+02
4.83E+04,2.08E+00,3.10E+01,1.67E+03,3.82E+02,1.73E+03,4.00E+02,3.79E+01,-1.21E+02
4.83E+04,1.53E+00,3.20E+01,2.08E+03,4.82E+02,1.41E+03,4.20E+02,3.63E+01,-1.19E+02
4.83E+04,1.49E+00,2.60E+01,1.38E+03,2.89E+02,7.61E+02,2.67E+02,3.91E+01,-1.22E+02
